0.000000,0.100000,0.000000,0.000000,0.100000
0.001000,0.100000,0.000501,0.000100,0.100000
0.002000,0.100001,0.001002,0.000200,0.099998
0.003000,0.100002,0.001504,0.000300,0.099993
0.004000,0.100003,0.002005,0.000400,0.099985
0.005000,0.100005,0.002506,0.000500,0.099975
0.006000,0.100008,0.003007,0.000600,0.099963
0.007000,0.100011,0.003508,0.000700,0.099948
0.008000,0.100014,0.004009,0.000800,0.099930
0.009000,0.100018,0.004510,0.000900,0.099910
0.010000,0.100023,0.005011,0.001000,0.099888
0.011000,0.100028,0.005512,0.001100,0.099863
0.012000,0.100033,0.006012,0.001200,0.099835
0.013000,0.100039,0.006513,0.001300,0.099805
0.014000,0.100046,0.007013,0.001400,0.099773
0.015000,0.100053,0.007513,0.001500,0.099738
0.016000,0.100060,0.008013,0.001599,0.099700
0.017000,0.100068,0.008513,0.001699,0.099660
0.018000,0.100077,0.009012,0.001799,0.099618
0.019000,0.100086,0.009512,0.001899,0.099573
0.020000,0.100095,0.010011,0.001998,0.099525
0.021000,0.100105,0.010510,0.002098,0.099475
0.022000,0.100116,0.011008,0.002197,0.099423
0.023000,0.100127,0.011507,0.002297,0.099368
0.024000,0.100138,0.012005,0.002396,0.099311
0.025000,0.100150,0.012502,0.002496,0.099251
0.026000,0.100163,0.013000,0.002595,0.099188
0.027000,0.100176,0.013497,0.002694,0.099124
0.028000,0.100189,0.013994,0.002793,0.099056
0.029000,0.100203,0.014490,0.002892,0.098986
0.030000,0.100218,0.014987,0.002991,0.098914
0.031000,0.100233,0.015482,0.003090,0.098839
0.032000,0.100248,0.015978,0.003189,0.098762
0.033000,0.100264,0.016473,0.003288,0.098683
0.034000,0.100281,0.016968,0.003387,0.098600
0.035000,0.100298,0.017462,0.003485,0.098516
0.036000,0.100315,0.017956,0.003584,0.098429
0.037000,0.100333,0.018449,0.003682,0.098339
0.038000,0.100352,0.018942,0.003781,0.098247
0.039000,0.100371,0.019434,0.003879,0.098153
0.040000,0.100390,0.019926,0.003977,0.098056
0.041000,0.100410,0.020418,0.004075,0.097956
0.042000,0.100430,0.020909,0.004173,0.097855
0.043000,0.100451,0.021399,0.004271,0.097750
0.044000,0.100473,0.021889,0.004369,0.097643
0.045000,0.100495,0.022379,0.004467,0.097534
