0.000000,0.100000,0.000000,0.000000,0.100000
0.001000,0.100000,0.000100,0.000100,0.100000
0.002000,0.100000,0.000200,0.000200,0.100000
0.003000,0.100000,0.000300,0.000300,0.100000
0.004000,0.100001,0.000400,0.000400,0.099999
0.005000,0.100001,0.000500,0.000500,0.099999
0.006000,0.100002,0.000600,0.000600,0.099999
0.007000,0.100002,0.000700,0.000700,0.099998
0.008000,0.100003,0.000800,0.000800,0.099997
0.009000,0.100004,0.000900,0.000900,0.099996
0.010000,0.100005,0.001000,0.001000,0.099996
0.011000,0.100006,0.001101,0.001101,0.099995
0.012000,0.100007,0.001201,0.001201,0.099993
0.013000,0.100008,0.001301,0.001301,0.099992
0.014000,0.100009,0.001401,0.001401,0.099991
0.015000,0.100011,0.001501,0.001501,0.099990
0.016000,0.100012,0.001601,0.001601,0.099988
0.017000,0.100014,0.001701,0.001701,0.099986
0.018000,0.100015,0.001801,0.001801,0.099985
0.019000,0.100017,0.001901,0.001901,0.099983
0.020000,0.100019,0.002001,0.002001,0.099981
0.021000,0.100021,0.002101,0.002101,0.099979
0.022000,0.100023,0.002201,0.002201,0.099977
0.023000,0.100025,0.002301,0.002301,0.099975
0.024000,0.100028,0.002401,0.002401,0.099972
0.025000,0.100030,0.002501,0.002501,0.099970
0.026000,0.100033,0.002601,0.002601,0.099968
0.027000,0.100035,0.002701,0.002701,0.099965
0.028000,0.100038,0.002801,0.002801,0.099962
0.029000,0.100041,0.002901,0.002901,0.099959
0.030000,0.100044,0.003001,0.003001,0.099957
0.031000,0.100047,0.003101,0.003101,0.099954
0.032000,0.100050,0.003201,0.003201,0.099950
0.033000,0.100053,0.003301,0.003301,0.099947
0.034000,0.100056,0.003401,0.003401,0.099944
0.035000,0.100060,0.003501,0.003501,0.099941
0.036000,0.100063,0.003601,0.003601,0.099937
0.037000,0.100067,0.003701,0.003701,0.099933
0.038000,0.100070,0.003801,0.003801,0.099930
0.039000,0.100074,0.003901,0.003901,0.099926
0.040000,0.100078,0.004001,0.004001,0.099922
0.041000,0.100082,0.004101,0.004101,0.099918
0.042000,0.100086,0.004201,0.004201,0.099914
0.043000,0.100090,0.004301,0.004301,0.099910
0.044000,0.100095,0.004401,0.004401,0.099905
0.045000,0.100099,0.004501,0.004501,0.099901
0.046000,0.100104,0.004601,0.004601,0.099897
0.047000,0.100108,0.004701,0.004701,0.099892
0.048000,0.100113,0.004801,0.004801,0.099887
0.049000,0.100118,0.004901,0.004901,0.099882
0.050000,0.100123,0.005001,0.005001,0.099878
0.051000,0.100128,0.005100,0.005100,0.099873
0.052000,0.100133,0.005200,0.005200,0.099867
0.053000,0.100138,0.005300,0.005300,0.099862
0.054000,0.100143,0.005400,0.005400,0.099857
0.055000,0.100149,0.005500,0.005500,0.099852
0.056000,0.100154,0.005600,0.005600,0.099846
0.057000,0.100160,0.005700,0.005700,0.099840
0.058000,0.100165,0.005800,0.005800,0.099835
0.059000,0.100171,0.005900,0.005900,0.099829
0.060000,0.100177,0.006000,0.006000,0.099823
0.061000,0.100183,0.006099,0.006099,0.099817
0.062000,0.100189,0.006199,0.006199,0.099811
0.063000,0.100195,0.006299,0.006299,0.099805
0.064000,0.100202,0.006399,0.006399,0.099798
0.065000,0.100208,0.006499,0.006499,0.099792
0.066000,0.100215,0.006599,0.006599,0.099786
0.067000,0.100221,0.006699,0.006699,0.099779
0.068000,0.100228,0.006798,0.006798,0.099772
0.069000,0.100235,0.006898,0.006898,0.099765
0.070000,0.100242,0.006998,0.006998,0.099759
0.071000,0.100249,0.007098,0.007098,0.099752
0.072000,0.100256,0.007198,0.007198,0.099745
0.073000,0.100263,0.007297,0.007297,0.099737
0.074000,0.100270,0.007397,0.007397,0.099730
0.075000,0.100278,0.007497,0.007497,0.099723
0.076000,0.100285,0.007597,0.007597,0.099715
0.077000,0.100293,0.007697,0.007697,0.099708
0.078000,0.100300,0.007796,0.007796,0.099700
0.079000,0.100308,0.007896,0.007896,0.099692
0.080000,0.100316,0.007996,0.007996,0.099684
0.081000,0.100324,0.008096,0.008096,0.099676
0.082000,0.100332,0.008195,0.008195,0.099668
0.083000,0.100340,0.008295,0.008295,0.099660
0.084000,0.100349,0.008395,0.008395,0.099652
0.085000,0.100357,0.008494,0.008494,0.099643
0.086000,0.100366,0.008594,0.008594,0.099635
0.087000,0.100374,0.008694,0.008694,0.099626
0.088000,0.100383,0.008793,0.008793,0.099617
0.089000,0.100392,0.008893,0.008893,0.099609
0.090000,0.100401,0.008993,0.008993,0.099600
0.091000,0.100410,0.009092,0.009092,0.099591
0.092000,0.100419,0.009192,0.009192,0.099582
0.093000,0.100428,0.009292,0.009292,0.099572
0.094000,0.100437,0.009391,0.009391,0.099563
0.095000,0.100447,0.009491,0.009491,0.099554
0.096000,0.100456,0.009591,0.009591,0.099544
0.097000,0.100466,0.009690,0.009690,0.099535
0.098000,0.100475,0.009790,0.009790,0.099525
0.099000,0.100485,0.009889,0.009889,0.099515
0.100000,0.100495,0.009989,0.009989,0.099505
0.101000,0.100505,0.010088,0.010088,0.099495
0.102000,0.100515,0.010188,0.010188,0.099485
0.103000,0.100525,0.010287,0.010287,0.099475
0.104000,0.100536,0.010387,0.010387,0.099465
0.105000,0.100546,0.010487,0.010487,0.099454
0.106000,0.100557,0.010586,0.010586,0.099444
0.107000,0.100567,0.010686,0.010686,0.099433
0.108000,0.100578,0.010785,0.010785,0.099423
0.109000,0.100589,0.010884,0.010884,0.099412
0.110000,0.100600,0.010984,0.010984,0.099401
0.111000,0.100611,0.011083,0.011083,0.099390
0.112000,0.100622,0.011183,0.011183,0.099379
0.113000,0.100633,0.011282,0.011282,0.099368
0.114000,0.100644,0.011382,0.011382,0.099357
0.115000,0.100655,0.011481,0.011481,0.099345
0.116000,0.100667,0.011580,0.011580,0.099334
0.117000,0.100679,0.011680,0.011680,0.099322
0.118000,0.100690,0.011779,0.011779,0.099310
0.119000,0.100702,0.011879,0.011879,0.099299
0.120000,0.100714,0.011978,0.011978,0.099287
0.121000,0.100726,0.012077,0.012077,0.099275
0.122000,0.100738,0.012177,0.012177,0.099263
0.123000,0.100750,0.012276,0.012276,0.099251
0.124000,0.100762,0.012375,0.012375,0.099238
0.125000,0.100775,0.012474,0.012474,0.099226
0.126000,0.100787,0.012574,0.012574,0.099214
0.127000,0.100800,0.012673,0.012673,0.099201
0.128000,0.100813,0.012772,0.012772,0.099188
0.129000,0.100825,0.012872,0.012872,0.099176
0.130000,0.100838,0.012971,0.012971,0.099163
0.131000,0.100851,0.013070,0.013070,0.099150
0.132000,0.100864,0.013169,0.013169,0.099137
0.133000,0.100877,0.013268,0.013268,0.099123
0.134000,0.100891,0.013368,0.013368,0.099110
0.135000,0.100904,0.013467,0.013467,0.099097
0.136000,0.100918,0.013566,0.013566,0.099083
0.137000,0.100931,0.013665,0.013665,0.099070
0.138000,0.100945,0.013764,0.013764,0.099056
0.139000,0.100959,0.013863,0.013863,0.099042
0.140000,0.100972,0.013962,0.013962,0.099029
0.141000,0.100986,0.014061,0.014061,0.099015
0.142000,0.101000,0.014160,0.014160,0.099001
0.143000,0.101015,0.014259,0.014259,0.098986
0.144000,0.101029,0.014358,0.014358,0.098972
0.145000,0.101043,0.014458,0.014458,0.098958
0.146000,0.101058,0.014557,0.014557,0.098943
0.147000,0.101072,0.014656,0.014656,0.098929
0.148000,0.101087,0.014754,0.014754,0.098914
0.149000,0.101102,0.014853,0.014853,0.098899
0.150000,0.101117,0.014952,0.014952,0.098885
0.151000,0.101132,0.015051,0.015051,0.098870
0.152000,0.101147,0.015150,0.015150,0.098855
0.153000,0.101162,0.015249,0.015249,0.098839
0.154000,0.101177,0.015348,0.015348,0.098824
0.155000,0.101192,0.015447,0.015447,0.098809
0.156000,0.101208,0.015546,0.015546,0.098793
0.157000,0.101223,0.015645,0.015645,0.098778
0.158000,0.101239,0.015743,0.015743,0.098762
0.159000,0.101255,0.015842,0.015842,0.098746
0.160000,0.101271,0.015941,0.015941,0.098731
0.161000,0.101287,0.016040,0.016040,0.098715
0.162000,0.101303,0.016139,0.016139,0.098699
0.163000,0.101319,0.016237,0.016237,0.098683
0.164000,0.101335,0.016336,0.016336,0.098666
0.165000,0.101351,0.016435,0.016435,0.098650
0.166000,0.101368,0.016533,0.016533,0.098634
